Open,High,Low,Close,Volume
101.255,101.331,100.34,100.468,22541
100.466,100.678,99.508,100.602,41900
100.605,101.157,99.637,99.924,46501
99.921,100.482,99.73,100.312,42406
100.314,100.453,100.02,100.183,19518
100.732,100.857,100.27,100.838,13135
100.837,100.926,100.028,100.324,28430
100.324,100.51,99.933,100.295,24434
100.296,100.612,100.086,100.471,20597
100.468,100.607,100.298,100.477,16260
100.48,101.939,100.05,101.776,37620
102.03,102.209,101.823,102.149,10595
102.153,102.386,101.744,102.085,24465
102.084,103.218,102.031,103.02,26310
103.02,103.525,102.939,103.251,25923
103.255,103.992,103.113,103.328,32012
103.324,104.314,102.791,103.892,40831
104.058,104.122,103.496,103.654,13032
103.654,103.799,103.14,103.504,24323
103.506,103.727,101.177,101.437,47846
101.438,101.911,101.3,101.66,26239
101.663,102.594,101.406,102.202,39051
102.196,103.049,101.991,102.645,30137
102.535,102.659,102.294,102.51,10350
102.507,102.588,101.41,101.711,41768
101.712,103.185,101.71,102.902,42901
102.901,103.35,101.93,102.226,39861
102.225,102.75,101.703,101.982,41420
101.985,102.457,101.769,102.216,24649
102.131,102.409,101.992,102.038,8311
102.04,102.151,101.576,101.923,24709
101.922,101.98,101.154,101.897,45675
101.899,102.776,100.087,100.385,92265
100.384,101.241,100.184,101.158,33005
101.159,101.195,100.669,100.95,19622
100.977,101.047,100.701,100.874,6949
100.879,101.073,100.073,100.775,35168
100.775,100.979,100.18,100.557,30935
100.558,101.406,100.441,101.356,30640
101.357,101.835,100.831,101.379,38656
101.383,101.469,100.741,101.303,26041
101.191,101.656,101.138,101.419,11228
101.422,102.382,101.236,102.105,24296
102.109,102.961,102.031,102.788,33917
102.789,103.663,102.721,103.451,25922
103.445,104.154,103.356,103.798,35032
103.793,103.98,102.851,102.862,37097
