Date,CURRFX.USDCHF.1
2011-06-17,0.850261
2011-06-16,0.84555
2011-06-15,0.840148
2011-06-14,0.841618
2011-06-13,0.841341
2011-06-10,0.837844
2011-06-09,0.836184
2011-06-08,0.835064
2011-06-07,0.835064
2011-06-06,0.837082
2011-06-03,0.844626
2011-06-02,0.849208
2011-06-01,0.850677
2011-05-31,0.850677
2011-05-30,0.857062
2011-05-27,0.872522
2011-05-26,0.878907
2011-05-25,0.882027
2011-05-24,0.87999
2011-05-23,0.879235
2011-05-20,0.881292
2011-05-19,0.882162
2011-05-18,0.886147
2011-05-17,0.890144
2011-05-16,0.890229
2011-05-13,0.884699
2011-05-12,0.879831
2011-05-11,0.876166
2011-05-10,0.876761
2011-05-09,0.872924
2011-05-06,0.86236
2011-05-05,0.862441
2011-05-04,0.864918
2011-05-03,0.865815
2011-05-02,0.868152
2011-04-29,0.873633
2011-04-28,0.876846
2011-04-27,0.881167
2011-04-26,0.884319
2011-04-25,0.885805
2011-04-22,0.888372
2011-04-21,0.895618
2011-04-20,0.89688
2011-04-19,0.894232
2011-04-18,0.892936
2011-04-15,0.895121
2011-04-14,0.898884
2011-04-13,0.904041
2011-04-12,0.907696
2011-04-11,0.911231
2011-04-08,0.919063
2011-04-07,0.92219
2011-04-06,0.923691
2011-04-05,0.923652
2011-04-04,0.921098
2011-04-01,0.918449
2011-03-31,0.920402
2011-03-30,0.918771
2011-03-29,0.919777
2011-03-28,0.915958
2011-03-25,0.906733
2011-03-24,0.90384
2011-03-23,0.904145
2011-03-22,0.903091
2011-03-21,0.900932
2011-03-18,0.906454
2011-03-17,0.91764
2011-03-16,0.923605
2011-03-15,0.928112
2011-03-14,0.93016
2011-03-11,0.932059
2011-03-10,0.93194
2011-03-09,0.928932
2011-03-08,0.92528
2011-03-07,0.925481
2011-03-04,0.926557
2011-03-03,0.927752
2011-03-02,0.929291
2011-03-01,0.928159
2011-02-28,0.928242
2011-02-25,0.931303
2011-02-24,0.939334
2011-02-23,0.94491
2011-02-22,0.945586
2011-02-21,0.94892
2011-02-18,0.959158
2011-02-17,0.966506
2011-02-16,0.970336
2011-02-15,0.972598
2011-02-14,0.969418
2011-02-11,0.962563
2011-02-10,0.960053
2011-02-09,0.955889
2011-02-08,0.955889
2011-02-07,0.950536
2011-02-04,0.940556
2011-02-03,0.938445
2011-02-02,0.941453
2011-02-01,0.941977
2011-01-31,0.942834
2011-01-28,0.943697
2011-01-27,0.944554
2011-01-26,0.950644
2011-01-25,0.957197
2011-01-24,0.958557
2011-01-21,0.959089
2011-01-20,0.96047
2011-01-19,0.962942
2011-01-18,0.964339
2011-01-17,0.965031
2011-01-14,0.969657
2011-01-13,0.97166
2011-01-12,0.969015
2011-01-11,0.966984
2011-01-10,0.966916
2011-01-07,0.961838
2011-01-06,0.949187
2011-01-05,0.938625
2011-01-04,0.934767
2011-01-03,0.936686
2010-12-31,0.944269
2010-12-30,0.951632
2010-12-29,0.956135
2010-12-28,0.959118
2010-12-27,0.959118
2010-12-24,0.957294
2010-12-23,0.957294
2010-12-22,0.963621
2010-12-21,0.967877
2010-12-20,0.968564
2010-12-17,0.966033
2010-12-16,0.963004
2010-12-15,0.969737
2010-12-14,0.97921
2010-12-13,0.982518
2010-12-10,0.986183
2010-12-09,0.985501
2010-12-08,0.98049
2010-12-07,0.977208
2010-12-06,0.982951
2010-12-03,1.00115
2010-12-02,1.00207
2010-12-01,1.00035
2010-11-30,1.0022
2010-11-29,1.00149
2010-11-26,0.997165
2010-11-25,0.993587
2010-11-24,0.99071
2010-11-23,0.991441
2010-11-22,0.991843
2010-11-19,0.992162
2010-11-18,0.991763
2010-11-17,0.985011
2010-11-16,0.981396
2010-11-15,0.977074
2010-11-12,0.971199
2010-11-11,0.968372
2010-11-10,0.963916
2010-11-09,0.963916
2010-11-08,0.964434
2010-11-05,0.971527
2010-11-04,0.981737
2010-11-03,0.986373
2010-11-02,0.9854
2010-11-01,0.983338
2010-10-29,0.986488
2010-10-28,0.984579
2010-10-27,0.975328
2010-10-26,0.972871
2010-10-25,0.972039
2010-10-22,0.964642
2010-10-21,0.964905
2010-10-20,0.963631
2010-10-19,0.959183
2010-10-18,0.956244
2010-10-15,0.953895
2010-10-14,0.959419
2010-10-13,0.962596
2010-10-12,0.962826
2010-10-11,0.96266
2010-10-08,0.963413
2010-10-07,0.965541
2010-10-06,0.970606
2010-10-05,0.974007
2010-10-04,0.975277
2010-10-01,0.977359
