Date,BCB.UDJIAD1.1
2010-12-02,11362.41
2010-12-01,11255.78
2010-11-30,11006.02
2010-11-29,11052.49
2010-11-26,11092.0
2010-11-24,11187.28
2010-11-23,11036.37
2010-11-22,11178.58
2010-11-19,11203.55
2010-11-18,11181.23
2010-11-17,11007.88
2010-11-16,11023.5
2010-11-15,11201.97
2010-11-12,11192.58
2010-11-11,11283.1
2010-11-10,11357.04
2010-11-09,11346.75
2010-11-08,11406.84
2010-11-05,11444.08
2010-11-04,11434.84
2010-11-03,11215.13
2010-11-02,11188.72
2010-11-01,11124.62
2010-10-29,11118.49
2010-10-28,11113.95
2010-10-27,11126.28
2010-10-26,11169.46
2010-10-25,11164.05
2010-10-22,11132.56
2010-10-21,11146.57
2010-10-20,11107.97
2010-10-19,10978.62
2010-10-18,11143.69
2010-10-15,11062.78
2010-10-14,11094.57
2010-10-13,11096.08
2010-10-12,11020.4
2010-10-11,11010.34
2010-10-08,11006.48
2010-10-07,10948.58
2010-10-06,10967.65
2010-10-05,10944.72
2010-10-04,10751.27
2010-10-01,10829.68
2010-09-30,10788.05
2010-09-29,10835.28
2010-09-28,10858.14
2010-09-27,10812.04
2010-09-24,10860.26
2010-09-23,10662.42
2010-09-22,10739.31
2010-09-21,10761.03
2010-09-20,10753.62
2010-09-17,10607.85
2010-09-16,10594.83
2010-09-15,10572.73
2010-09-14,10526.49
2010-09-13,10544.13
2010-09-10,10462.77
2010-09-09,10415.24
2010-09-08,10387.01
2010-09-07,10340.69
2010-09-03,10447.93
2010-09-02,10320.1
2010-09-01,10269.47
2010-08-31,10014.72
2010-08-30,10009.73
2010-08-27,10150.65
2010-08-26,9985.81
2010-08-25,10060.06
2010-08-24,10040.45
2010-08-23,10174.41
2010-08-20,10213.62
2010-08-19,10271.21
2010-08-18,10415.54
2010-08-17,10405.85
2010-08-16,10302.01
2010-08-13,10303.15
2010-08-12,10319.95
2010-08-11,10378.83
2010-08-10,10644.25
2010-08-09,10698.75
2010-08-06,10653.56
2010-08-05,10674.98
2010-08-04,10680.43
2010-08-03,10636.38
2010-08-02,10674.38
2010-07-30,10465.94
