Date,CURRFX.CADJPY.1
2012-03-13,83.047
2012-03-12,83.0578
2012-03-11,83.0578
2012-03-10,82.386
2012-03-09,81.4518
2012-03-08,81.0182
2012-03-07,81.6294
2012-03-06,82.3409
2012-03-05,82.6324
2012-03-04,82.6324
2012-03-03,82.3773
2012-03-02,81.8206
2012-03-01,81.0977
2012-02-29,80.7579
2012-02-28,80.9432
2012-02-27,80.9975
2012-02-26,80.9975
2012-02-25,80.4924
2012-02-24,80.2662
2012-02-23,80.1873
2012-02-22,80.1173
2012-02-21,80.0185
2012-02-20,79.8003
2012-02-19,79.6484
2012-02-18,79.1493
2012-02-17,78.6171
2012-02-16,78.4011
2012-02-15,77.8448
2012-02-14,77.6114
2012-02-13,77.514
2012-02-12,77.6041
2012-02-11,77.693
2012-02-10,77.4994
2012-02-09,77.2079
2012-02-08,76.9783
2012-02-07,76.9878
2012-02-06,77.0976
2012-02-05,76.862
2012-02-04,76.3887
2012-02-03,76.2125
2012-02-02,76.1711
2012-02-01,76.264
2012-01-31,76.4045
2012-01-30,76.7032
2012-01-29,76.7032
2012-01-28,77.1097
2012-01-27,77.324
2012-01-26,76.9001
2012-01-25,76.3909
2012-01-24,76.0751
2012-01-23,76.0037
2012-01-22,76.0441
2012-01-21,76.0962
2012-01-20,75.9325
2012-01-19,75.6704
2012-01-18,75.4884
2012-01-17,75.2223
2012-01-16,75.2137
2012-01-15,75.2513
2012-01-14,75.3643
2012-01-13,75.5173
2012-01-12,75.5099
2012-01-11,75.1526
2012-01-10,74.7885
2012-01-09,74.8239
2012-01-08,75.0907
2012-01-07,75.602
2012-01-06,75.6912
2012-01-05,75.7481
2012-01-04,75.6632
2012-01-03,75.3808
2012-01-02,75.2577
2012-01-01,75.516
2011-12-31,75.9425
2011-12-30,76.1275
2011-12-29,76.3346
2011-12-28,76.3782
2011-12-27,76.4494
2011-12-26,76.5285
2011-12-25,76.5285
2011-12-24,76.4216
2011-12-23,76.0527
2011-12-22,75.6524
